date,S&P Aerospace & Defense Select Industry Index
9/14/2020,13808.7
9/15/2020,13743.74
9/16/2020,13978.37
9/17/2020,14073.11
9/18/2020,14010.42
9/21/2020,13577.37
9/22/2020,13580.31
9/23/2020,13146.63
9/24/2020,13077.84
9/25/2020,13406.29
9/28/2020,13779.6
9/29/2020,13612.63
9/30/2020,13418.9
10/1/2020,13623.12
10/2/2020,13756.26
10/5/2020,13844.02
10/6/2020,13693.77
10/7/2020,13987.87
10/8/2020,14256.41
10/9/2020,14171.72
10/12/2020,14202.25
10/13/2020,14002.68
10/14/2020,14055.91
10/15/2020,14135.25
10/16/2020,14232.76
10/19/2020,14182.75
10/20/2020,14146.77
10/21/2020,13873.93
10/22/2020,14159.78
10/23/2020,14226.83
10/26/2020,13758.26
10/27/2020,13413.37
10/28/2020,12963.84
10/29/2020,13148.16
10/30/2020,13100.06
11/2/2020,13477.58
11/3/2020,13930.46
11/4/2020,13814.3
11/5/2020,14064.27
11/6/2020,13914.32
11/9/2020,14867.78
11/10/2020,15445.76
11/11/2020,15199.36
11/12/2020,15006.08
11/13/2020,15596.43
11/16/2020,16057.37
11/17/2020,16276.72
11/18/2020,16148.48
11/19/2020,16273.91
11/20/2020,16005.59
11/23/2020,16575.27
11/24/2020,16985.77
11/25/2020,16929.66
11/27/2020,16841.51
11/30/2020,16397.24
12/1/2020,16668.9
12/2/2020,16910.81
12/3/2020,17262.12
12/4/2020,17591.09
12/7/2020,17688.58
12/8/2020,17858.05
12/9/2020,17670.74
12/10/2020,17694.39
12/11/2020,17672.11
12/14/2020,17253.83
12/15/2020,17520.23
12/16/2020,17247.88
12/17/2020,17201.01
12/18/2020,17195.52
12/21/2020,17198.02
12/22/2020,17153.57
12/23/2020,17543.47
12/24/2020,17452.69
12/28/2020,17485.51
12/29/2020,17373.85
12/30/2020,17576.56
12/31/2020,17649.95
1/4/2021,16950.13
1/5/2021,17388
1/6/2021,17643.81
1/7/2021,17613.55
1/8/2021,17540.4
1/11/2021,17631.93
1/12/2021,17994.75
1/13/2021,17941.6
1/14/2021,18574.25
1/15/2021,18206.75
1/19/2021,18568.88
1/20/2021,18584.41
1/21/2021,18272.41
1/22/2021,18374.8
1/25/2021,18320.59
1/26/2021,18060.09
1/27/2021,17549.87
1/28/2021,17584.3
1/29/2021,17198.98
2/1/2021,17679.12
2/2/2021,18043.61
2/3/2021,18405.74
2/4/2021,18732.61
2/5/2021,18756.79
2/8/2021,19215.91
2/9/2021,19348.13
